ID,Brand,Series,Model,Name,Price,Cooling Capacity,Heating Capacity,Has WiFi
"samsung-25-30kw-ai-smart-airise-windfree-airconditioner-wall-mount---heat-pump-ar09bxecnwknsa","Samsung","Other","AR09BXECNWKNSA","Samsung 2.5/3.0kw AI Smart AIRISE WindFree™ AirConditioner Wall-mount - Heat Pump","$1675+GST","","","Yes"
"samsung-35-40kw-ai-smart-airise-windfree-airconditioner-wall-mount---heat-pump-ar12bxecnwknsa","Samsung","Other","AR12BXECNWKNSA","Samsung 3.5/4.0kw AI Smart AIRISE WindFree™ AirConditioner Wall-mount - Heat Pump","$1794+GST","","","Yes"
"samsung-50-60kw-ai-smart-airise-windfree-airconditioner-wall-mount---heat-pump-ar18bxecnwknsa","Samsung","Other","AR18BXECNWKNSA","Samsung 5.0/6.0kw AI Smart AIRISE WindFree™ AirConditioner Wall-mount - Heat Pump","$2245+GST","","","Yes"
"samsung-68-72kw-ai-smart-airise-windfree-airconditioner-wall-mount---heat-pump-ar24bxecnwknsa","Samsung","Other","AR24BXECNWKNSA","Samsung 6.8/7.2kw AI Smart AIRISE WindFree™ AirConditioner Wall-mount - Heat Pump","$2698+GST","","","Yes"
"samsung-ai-windfree-80-90-kw-ar30bxecnwknsaar30bxecnwkxsa","Samsung","Other","AR30BXECNWKNSA + AR30BXECNWKXSA","Samsung AI windfree 8.0/9.0 Kw","$3199+GST ","","","Yes"
"mitsubish-electric-ap25-25-32kw-with-wi-fi-msz-ap25vgkd2","Mitsubishi","Other","MSZ-AP25VGKD2","Mitsubish Electric AP25 2.5/3.2kw with Wi-Fi","$2125+GST","","","Yes"
"mitsubish-electric-gs25-25-31kwheat-pump-msz-gs25vfd","Mitsubishi","Other","MSZ-GS25VFD","Mitsubish Electric GS25 2.5/3.1kwHeat Pump","$1834+GST","2.5kW","3.1kW","Yes"
"mitsubish-electric-gs580-78-90kwheat-pump-msz-gs80vfd","Mitsubishi","Other","MSZ-GS80VFD","Mitsubish Electric GS580 7.8/9.0kwHeat Pump","$3674+GST","7.8kW","9.0kW","Yes"
"haire-pinnacle-35-37kw-heat-pump-as35pbdhra-set","Haire","Other","AS35PBDHRA-SET","Haire Pinnacle 3.5/3.7kw heat pump","$1504+GST","","","Yes"
"haire-pinnacle-25-30-kw-with-wifi-as26pbdhra-set","Haire","Other","AS26PBDHRA-SET","Haire pinnacle 2.5/3.0 kw with WIFI","$1455+GST","","","Yes"
"haire-quartz-71-80kw-heat-pump-as71qeehra-set","Haire","Other","AS71QEEHRA-SET","Haire Quartz 7.1/8.0kw heat pump","$2478+GST","7.1kW","8.0kW","Yes"
"haire-quartz-50-60kw-heat-pump-as50qdehra-set","Haire","Other","AS50QDEHRA-SET","Haire Quartz 5.0/6.0kw heat pump","$2152+GST","5.0kW","6.0kW","Yes"
"haire-pinnacle-50-55kw-heat-pump-as53pddhra-set","Haire","Other","AS53PDDHRA-SET","Haire Pinnacle 5.0/5.5kw heat pump","$2080+GST","","","Yes"
"haire-pinnacle-70-76kw-heat-pump-as71pddhra-set","Haire","Other","AS71PDDHRA-SET","Haire Pinnacle 7.0/7.6kw heat pump","$2381+GST","","","Yes"
"haire-quartz-90-95kw-heat-pump-as90qfdhra-set","Haire","Other","AS90QFDHRA-SET","Haire Quartz 9.0/9.5kw heat pump","$2999+GST","9.0kW","9.5kW","Yes"
"haire-quartz-25-32kw-heat-pump-as25qcehra-set","Haire","Other","AS25QCEHRA-SET","Haire Quartz 2.5/3.2kw Heat pump","$1610+GST","2.5kW","3.2kW","Yes"
"haire-quartz-35-37kw-heat-pump-as35qcehra-set","Haire","Other","AS35QCEHRA-SET","Haire Quartz 3.5/3.7kw heat pump","$1664+GST","3.5kW","3.7kW","Yes"
"lg-standard-63-73-kw-high-wall-ws24wu","LG","Standard","WS24WU","LG STANDARD 6.3/7.3 KW HIGH WALL","$2525+GST ","6.3kW","7.3kW","Yes"
"lg-deluxe-85kw---90kw-high-wall-wh30sr-1-wh30sr","LG","Other","WH30SR","LG DELUXE 8.5KW / 9.0KW HIGH WALL WH30SR-1","$3234+GST","8.5kW","9.0kW","Yes"
"lg-deluxe-94-103kw-high-wall-wh34sr","LG","Other","WH34SR","LG Deluxe 9.4/10.3KW High Wall","$3697+GST","9.4kW","10.3kW","Yes"
"lg-standard-26kw---32kw-high-wall-ws09tws","LG","Standard","WS09TWS","LG STANDARD 2.6KW / 3.2KW HIGH WALL","$1707+GST","2.6kW","3.3kW","Yes"
"lg-standard-34-40-kw-high-wall-ws12twn","LG","Standard","WS12TWN","LG STANDARD 3.4/4.0 Kw HIGH WALL","$2003+GST","3.4kW","4.0kW","Yes"
"lg-standard-48kw---59kw-high-wall-ws18tws","LG","Standard","WS18TWS","LG STANDARD 4.8KW / 5.9KW HIGH WALL","$2179+GST","4.8kW","5.9kW","Yes"
"lg-standard-71kw---77kw-high-wall-ws24sl-23","LG","Standard","WS24SL-23","LG STANDARD 7.1KW / 7.7KW HIGH WALL","$2671+GST","","","Yes"
"panasonic-developer-25-30kw-heat-pump-rz25xkr","Panasonic","Other","RZ25XKR","Panasonic Developer 2.5/3.0kw heat pump","$1845+GST","2.5kW","3.0kW","No"
"panasonic-aero-80-90kw-with-wifi-heat-pump-z80xkr","Panasonic","Other","Z80XKR","Panasonic Aero 8.0/9.0kw with Wifi heat pump","$3486+GST","8.0kW","9.0kW","Yes"
"panasonic-aero-25-30kw-with-wifi-heat-pump-z25xkr-1","Panasonic","Other","Z25XKR-1","Panasonic Aero 2.5/3.0kw with WIFI heat pump","$1985+GST","2.5kW","3.0kW","Yes"
"panasonic-aero-35-40kw-with-wifi-heat-pump-z35xkr","Panasonic","Other","Z35XKR","Panasonic Aero 3.5/4.0kw with Wifi heat pump","$2027+GST","3.5kW","4.0kW","Yes"
"panasonic-aero-71-80kw-with-wifi-heat-pump-z71xkr","Panasonic","Other","Z71XKR","Panasonic Aero 7.1/8.0kw with Wifi heat pump","$3072+GST","7.1kW","8.0kW","Yes"
"panasonic-developer-35-40kw-heat-pump-rz35xkr","Panasonic","Other","RZ35XKR","Panasonic Developer 3.5/4.0kw heat pump","$1952+GST ","3.5kW","4.0kW","No"
"panasonic-developer-42-51kw-heat-pump-rz42xkr","Panasonic","Other","RZ42XKR","Panasonic Developer 4.2/5.1kw heat pump","$2198+GST","4.2kW","5.1kW","No"
"panasonic-developer-50-60kw-heat-pump-rz50xkr","Panasonic","Other","RZ50XKR","Panasonic Developer 5.0/6.0kw heat pump","$2328+GST","5.0kW","6.0kW","No"
"panasonic-developer-60-65kw-heat-pump-rz60xkr","Panasonic","Other","RZ60XKR","Panasonic Developer 6.0/6.5kw heat pump","$2617+GST","6.0kW","6.5kW","No"
"panasonic-developer-71-80kw-heat-pump-rz71xkr","Panasonic","Other","RZ71XKR","Panasonic Developer 7.1/8.0kw heat pump","$2885+GST","7.1kW","8.0kW","No"
"panasonic-developer-80-90kw-heat-pump-rz80xkr","Panasonic","Other","RZ80XKR","Panasonic Developer 8.0/9.0kw heat pump","$3375+GST","8.0kW","9.0kW","No"
"panasonic-aero-42-51kw-with-wifi-heat-pump-z42xkr","Panasonic","Other","Z42XKR","Panasonic Aero 4.2/5.1kw with Wifi heat pump","$2331+GST","3.5kW","4.0kW","Yes"
"panasonic-aero-50-60kw-with-wifi-heat-pump-z50xkr","Panasonic","Other","Z50XKR","Panasonic Aero 5.0/6.0kw with Wifi heat pump","$2465+GST ","5.0kW","6.0kW","Yes"
"panasonic-aero-60-72kw-with-wifi-heat-pump-z60xkr","Panasonic","Other","Z60XKR","Panasonic Aero 6.0/7.2kw with Wifi heat pump","$2802+GST","6.0kW","7.2kW","Yes"
